total bases NEW=160 OLD=160  procs 440vs440
   PROC-063: NEW src=['T-020'] act=样品发放,作业指导书发送 ent=报名记录 dim=报名记录样品状态 n=5
   PROC-064: NEW src=['T-068'] act=接收样品 ent=报名记录 dim=报名记录样品状态 n=5
   PROC-065: NEW src=['T-069'] act=确认收样 ent=报名记录 dim=报名记录样品状态 n=5
   PROC-066: NEW src=['EO-CRU-016'] act=执行提交结果报告 ent=报名记录 dim=None n=5
   PROC-067: NEW src=['T-049'] act=修改预通知 ent=项目 dim=通知状态 n=3
   PROC-068: NEW src=['T-037'] act=编制结果报告 ent=项目 dim=项目状态 n=3
   PROC-069: NEW src=['T-067'] act=编制结果通知单 ent=项目 dim=项目状态 n=3
   PROC-070: NEW src=['EO-CRU-009'] act=执行上传结果通知单 ent=项目 dim=None n=3
   PROC-071: NEW src=['EO-CRU-010'] act=执行上传证书 ent=项目 dim=None n=3
   PROC-072: NEW src=['T-010'] act=发送缴费通知 ent=缴费通知单 dim=缴费通知单状态 n=2
   PROC-073: NEW src=['T-031', 'CO-002'] act=选择评价人员 ent=评价 dim=评价状态 n=2
   PROC-074: NEW src=['T-021'] act=参加者测试与结果提交 ent=报名记录 dim=报名记录状态 n=5
   PROC-075: NEW src=['T-025'] act=结果报告回收 ent=报名记录 dim=报名记录状态 n=5
   PROC-076: NEW src=['T-026'] act=结果报告回收 ent=报名记录 dim=报名记录状态 n=5
   PROC-077: NEW src=['T-027'] act=重新提交结果 ent=报名记录 dim=报名记录状态 n=5
   PROC-078: NEW src=['T-047'] act=审核预通知 ent=项目 dim=通知状态 n=3
   PROC-079: NEW src=['T-050'] act=能力验证预通知 ent=项目 dim=通知状态 n=3
   PROC-080: NEW src=['T-039'] act=发放结果报告和证书 ent=项目 dim=项目状态 n=3
   PROC-081: NEW src=['EO-CRU-004'] act=执行文件整理 ent=项目 dim=None n=3
   PROC-082: NEW src=['T-032[a]'] act=评价人员评价 ent=评价 dim=评价状态 n=2
